id,category
75606737-d17d-43eb-86e6-6735b6f45a52.png,8
800e3baf-9ab1-48c0-a9ce-46c5fac9ff69.png,1
c40b7fc4-07f1-4c78-abac-121bde38e267.png,0
1b2e1b3d-46f2-4c3f-b741-a8d5099ce710.png,4
b8fd3385-9403-48a4-9d9e-74bde635e688.png,9
72233cbe-fcd9-49c0-998f-df2610d39a38.png,6
3b6503e9-4d41-4db4-8323-2a09cb9703e2.png,2
a22360f1-f812-4ea8-89ab-d47795bd7aa4.png,3
cb99eb57-4977-4c87-b52a-22feb58949ef.png,3
b28b40c7-67e1-411f-9db0-e97bde90ad8e.png,5
9f8baef0-f96b-4faf-84c1-006edb606d09.png,9
67dac042-89ef-4cff-b611-d7cef32b7b78.png,4
e04f42e9-e4f4-4fbc-9c54-2c3b6031a2ed.png,7
9ac05e3f-ebd9-4fb8-8f64-0080e11664ab.png,3
b24087ab-d6fc-4ac3-be34-61c6d0bd4aec.png,8
d05b36d8-200f-46ff-9ed9-a52bed6b2bfa.png,0
47416908-20b7-431b-bcbf-300105463f1c.png,1
712670d3-788e-44c7-a476-40bf0b4b5d96.png,5
a3c87175-bcbb-41cf-81ac-6009d9b0d9e6.png,1
bd508309-08e1-477e-8194-64238b867cab.png,0
3b115b22-c9a2-4ecb-95c4-4ab23e620480.png,6
dd79b52d-9893-451f-848c-cce3532539aa.png,9
d004f5e3-6613-48c3-b060-cbd68874c2eb.png,2
f593ecf9-084e-4d9b-86b0-98ec2f9c01a1.png,5
59937745-b5e4-4f69-aee6-3e43a1381846.png,2
0f491b2d-4ed5-4896-9087-14170a724689.png,5
df8ce855-828b-479f-9bfb-a8bd767dc903.png,0
64500ffd-29a6-4b21-8da4-3cee3c93ba2d.png,6
bf47cabe-cc95-42d9-9331-b2ea42664070.png,3
a5e81ef3-d3e5-47b6-860f-554602ebeb13.png,8
6024e758-b319-4545-9be7-8afb3a6b6a45.png,1
79eb4f73-ff95-4fd4-ad23-8e626d067e2b.png,1
eeca186d-18a5-45da-bef7-f1e44b74f92b.png,6
a57d1765-2d2b-4dd0-95b3-e747eef45eb5.png,7
