id,feature1,feature2,feature3,predict
7c5fda39-c4a6-4d49-a0f6-751c7cd72bb4,,75606737-d17d-43eb-86e6-6735b6f45a52.png,800e3baf-9ab1-48c0-a9ce-46c5fac9ff69.png,9
7e15ec1b-fe36-4a9e-a1cd-7c160e6a1b9c,,75606737-d17d-43eb-86e6-6735b6f45a52.png,800e3baf-9ab1-48c0-a9ce-46c5fac9ff69.png,9
96b5d8b6-61cd-49f2-b22f-16fe25483cbc,,75606737-d17d-43eb-86e6-6735b6f45a52.png,800e3baf-9ab1-48c0-a9ce-46c5fac9ff69.png,9
84ce5493-7e0f-4aee-8bb7-f799d714b5b3,,c40b7fc4-07f1-4c78-abac-121bde38e267.png,1b2e1b3d-46f2-4c3f-b741-a8d5099ce710.png,4
7cb117e7-d8f3-400b-aeb3-a84fa3fb54e8,,c40b7fc4-07f1-4c78-abac-121bde38e267.png,1b2e1b3d-46f2-4c3f-b741-a8d5099ce710.png,4
9cb2196d-01fa-40d6-8e58-bcee2507c6ee,,b8fd3385-9403-48a4-9d9e-74bde635e688.png,72233cbe-fcd9-49c0-998f-df2610d39a38.png,15
7de9295d-7af1-4b6b-b63b-4a6346828b08,,b8fd3385-9403-48a4-9d9e-74bde635e688.png,72233cbe-fcd9-49c0-998f-df2610d39a38.png,15
fc65c8ae-f7d8-46f0-801c-dde6eac40969,,b8fd3385-9403-48a4-9d9e-74bde635e688.png,72233cbe-fcd9-49c0-998f-df2610d39a38.png,15
2be0fad5-6215-4943-a1bd-663e40b53aa4,,c40b7fc4-07f1-4c78-abac-121bde38e267.png,1b2e1b3d-46f2-4c3f-b741-a8d5099ce710.png,4
03381496-c7c3-4b3d-a7a4-87e950da1df5,,3b6503e9-4d41-4db4-8323-2a09cb9703e2.png,a22360f1-f812-4ea8-89ab-d47795bd7aa4.png,5
b4d7ffd2-f5cd-4676-92ef-e7e277099401,,b8fd3385-9403-48a4-9d9e-74bde635e688.png,72233cbe-fcd9-49c0-998f-df2610d39a38.png,15
dee8cf85-3c40-4f83-9743-6aff2e9ac7f6,,cb99eb57-4977-4c87-b52a-22feb58949ef.png,b28b40c7-67e1-411f-9db0-e97bde90ad8e.png,8
ef17a30e-8f10-4cc2-a575-181cbcaa55fa,,9f8baef0-f96b-4faf-84c1-006edb606d09.png,67dac042-89ef-4cff-b611-d7cef32b7b78.png,13
15c7e4bf-40b1-4427-8f18-6fc401288020,,b8fd3385-9403-48a4-9d9e-74bde635e688.png,72233cbe-fcd9-49c0-998f-df2610d39a38.png,15
6eeb5a2d-b824-4ff4-be57-c764f0436449,,e04f42e9-e4f4-4fbc-9c54-2c3b6031a2ed.png,9ac05e3f-ebd9-4fb8-8f64-0080e11664ab.png,10
386ffa9c-b5be-4c47-b02b-212e5a8f9565,,b24087ab-d6fc-4ac3-be34-61c6d0bd4aec.png,d05b36d8-200f-46ff-9ed9-a52bed6b2bfa.png,8
59048892-f2e0-49ff-9982-decb7b5cc934,,cb99eb57-4977-4c87-b52a-22feb58949ef.png,b28b40c7-67e1-411f-9db0-e97bde90ad8e.png,8
5aeac61a-d795-4108-9aed-041376de6638,,47416908-20b7-431b-bcbf-300105463f1c.png,712670d3-788e-44c7-a476-40bf0b4b5d96.png,6
4f55c5e8-b017-421d-b6ef-362178da2327,,cb99eb57-4977-4c87-b52a-22feb58949ef.png,b28b40c7-67e1-411f-9db0-e97bde90ad8e.png,8
b02e2eeb-9658-49ca-8c47-7a47b5bb2565,,3b6503e9-4d41-4db4-8323-2a09cb9703e2.png,a22360f1-f812-4ea8-89ab-d47795bd7aa4.png,5
212d10f0-96f0-4be3-a5a6-da9edd485109,,a3c87175-bcbb-41cf-81ac-6009d9b0d9e6.png,bd508309-08e1-477e-8194-64238b867cab.png,1
3d01fbea-9f13-4d51-96f3-8a1ea9357ce2,,3b115b22-c9a2-4ecb-95c4-4ab23e620480.png,dd79b52d-9893-451f-848c-cce3532539aa.png,15
7178d40a-7d49-4795-b2d8-6cada9bbfa01,,d004f5e3-6613-48c3-b060-cbd68874c2eb.png,f593ecf9-084e-4d9b-86b0-98ec2f9c01a1.png,7
ec6e3d90-3998-46b6-858e-444379690632,,d004f5e3-6613-48c3-b060-cbd68874c2eb.png,f593ecf9-084e-4d9b-86b0-98ec2f9c01a1.png,7
76289e1e-620a-4486-80db-3415567c98fd,,59937745-b5e4-4f69-aee6-3e43a1381846.png,0f491b2d-4ed5-4896-9087-14170a724689.png,7
2e03f782-ab13-4f5f-b410-6f7f891fa449,,75606737-d17d-43eb-86e6-6735b6f45a52.png,800e3baf-9ab1-48c0-a9ce-46c5fac9ff69.png,9
6dfe29ae-17c9-4aec-9486-94b9969d8028,,df8ce855-828b-479f-9bfb-a8bd767dc903.png,64500ffd-29a6-4b21-8da4-3cee3c93ba2d.png,6
a387de73-81d7-48ef-835b-ee0625c1f9e7,,bf47cabe-cc95-42d9-9331-b2ea42664070.png,a5e81ef3-d3e5-47b6-860f-554602ebeb13.png,11
67f69ba4-6375-440a-96c7-3227e9ca9ce4,,cb99eb57-4977-4c87-b52a-22feb58949ef.png,b28b40c7-67e1-411f-9db0-e97bde90ad8e.png,8
b2943d03-52e7-4b31-8ecd-9b1bc97ccf07,,e04f42e9-e4f4-4fbc-9c54-2c3b6031a2ed.png,9ac05e3f-ebd9-4fb8-8f64-0080e11664ab.png,10
b7617c46-2966-4fd6-807d-fd3fde26d51e,,6024e758-b319-4545-9be7-8afb3a6b6a45.png,79eb4f73-ff95-4fd4-ad23-8e626d067e2b.png,2
a448fcca-933d-4fdc-b4c8-1f7297f34129,,bf47cabe-cc95-42d9-9331-b2ea42664070.png,a5e81ef3-d3e5-47b6-860f-554602ebeb13.png,11
b688921d-0573-4cba-b953-1813a6c8f01f,,d004f5e3-6613-48c3-b060-cbd68874c2eb.png,f593ecf9-084e-4d9b-86b0-98ec2f9c01a1.png,7
88e6a9c3-a119-4702-92d8-2396cdf0b41a,,eeca186d-18a5-45da-bef7-f1e44b74f92b.png,a57d1765-2d2b-4dd0-95b3-e747eef45eb5.png,13
7eb6528b-d0d1-4bdc-b159-3a05dbcad674,,d004f5e3-6613-48c3-b060-cbd68874c2eb.png,f593ecf9-084e-4d9b-86b0-98ec2f9c01a1.png,7
3724f9ac-8d5f-40a8-9731-b5bd5cf0a81d,,10519953-099a-48cd-b943-defb2794d792.png,88636861-ae56-47b9-8ed8-31fb9c1c5372.png,7
05508fdd-b254-49fe-8a49-428a44fe6425,,cfd7fc8c-29fe-47de-a42c-879805b16653.png,04e942f1-13ca-4453-996d-2b3815479ab7.png,12
2853d2e7-6e5e-4739-adc2-6f3a5e7729b4,,b8fd3385-9403-48a4-9d9e-74bde635e688.png,72233cbe-fcd9-49c0-998f-df2610d39a38.png,15
144fb5d4-2ee5-4518-9c56-5ab242593727,,6a97014f-ae26-4d60-b49e-c4512fd166d3.png,29cbb571-3f5d-4159-9e73-4c931a5f3094.png,9
0460acb4-247c-4031-9f7e-6cabe6f489d3,,36dfb6a8-57f4-465b-a13b-81cb4a0fcbf3.png,9812748d-2fa9-42ab-b8ca-7db72e362fa7.png,5
